cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;cod_dpto;departamento;cod_mpio;municipio;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;año_corte;mes_corte
4815;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE JAMUNDÍ;9548;"INSTITUTO TECNICO DEL PACIFICO ""INTEPAC""";0247;07/17/2019 12:00:00 AM;76;VALLE DEL CAUCA;76364;JAMUNDÍ;NO;;;;;2020;11
7692;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE APARTADÓ;9604;CESDE URABÁ;224;08/04/2020 12:00:00 AM;5;ANTIOQUIA;5045;APARTADÓ;NO;;;;;2020;11
3826;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL PUTUMAYO;9510;Instituto Técnico Comfamiliar ITEC;0654;02/26/2020 12:00:00 AM;86;PUTUMAYO;86001;MOCOA;NO;;;;;2020;11
4910;SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA;2351;FUNDACION INDUFRIAL;0620;07/17/2009 12:00:00 AM;13;BOLÍVAR;13001;CARTAGENA;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;179;ACADEMIA LATINOAMERICANA DE BELLEZA;06-0041;08/10/2010 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
4910;SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA;8468;CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS - UNIMINUTO;10345;08/01/2090 12:00:00 AM;13;BOLÍVAR;13001;CARTAGENA;NO;;;;;2020;11
10857;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MOSQUERA;8149;UNIDAD CORPORATIVA ARKOS LTDA;RESOLUCION294;06/10/2016 12:00:00 AM;25;CUNDINAMARCA;25473;MOSQUERA;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;1684;CENTRO DE EDUCACION PARA EL TRABAJO - CAFAM;180210;12/22/2010 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;SI;CO17.01795;NTC 5555;BUREAU VERITAS;PRIMERA VEZ;2020;11
10930;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE ZIPAQUIRÁ;8066;"ACADEMIA ""ABIZ""";70;01/26/2016 12:00:00 AM;25;CUNDINAMARCA;25899;ZIPAQUIRÁ;NO;;;;;2020;11
3791;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE NEIVA;9484;CORPORACIÓN SYSPRO NEIVA;0308;02/10/2020 12:00:00 AM;41;HUILA;41001;NEIVA;NO;;;;;2020;11
3774;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MANIZALES;1293;INSTITUTO CALENDA LTDA;536;03/24/2009 12:00:00 AM;17;CALDAS;17001;MANIZALES;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;932;ESCUELA DE ESTETICA EUROPEA LESTHETIQUE;0346;02/03/2006 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;NO;;;;;2020;11
3825;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CASANARE;8358;CENTRO DE IDIOMA EXTRANJERO - CEIDEX;2997;11/18/2016 12:00:00 AM;85;CASANARE;85010;AGUAZUL;NO;;;;;2020;11
3806;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PEREIRA;6396;CENTRO INTERNACIONAL DE INGLES;4742;12/01/2012 12:00:00 AM;66;RISARALDA;66001;PEREIRA;NO;;;;;2020;11
4382;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE QUIBDÓ;8856;CENTRO PARA EL APRENDIZAJE DE INGLES;0665;05/03/2018 12:00:00 AM;27;CHOCO;27001;QUIBDÓ;NO;;;;;2020;11
3799;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO;1521;INSTITUTO JORGE ELICER GAITAN;2098;11/27/2009 12:00:00 AM;52;NARIÑO;52001;PASTO;NO;;;;;2020;11
3820;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUGA;4753;SYSTEM PLUS BUGA;010;01/11/2013 12:00:00 AM;76;VALLE DEL CAUCA;76111;GUADALAJARA DE BUGA;NO;FT-CER288592;NTC 5555;ICONTEC;VENCIDA;2020;11
3818;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CALI;7994;ESCUELA DE GASTRONOMIA MARIANO MORENO - SEDE CALI;7524;11/06/2015 12:00:00 AM;76;VALLE DEL CAUCA;76001;CALI;NO;;;;;2020;11
3766;SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ;1185;CORPORACION EDUCATIVA SAN AGUSTIN - COREDSA;2230;09/02/2093 12:00:00 AM;11;BOGOTÁ D.C.;11001;BOGOTÁ;SI;20.045-2;NTC 5555;CELAC;RENOVADA;2020;11
3808;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SANTANDER;4076;CORPORACIÓN EDUCATIVA TÉCNICA EMPRESARIAL DE COLOMBIA CORPOTECC;15629;12/15/2008 12:00:00 AM;68;SANTANDER;68679;SAN GIL;NO;FT 006-1;NTC 5555;ICONTEC;VENCIDA;2020;11
3801;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NORTE DE SANTANDER;9049;INSTITUCION DEL TRABAJO Y EL DESARROLLO HUMANO COMFAORIENTE TIBU;004963;11/14/2018 12:00:00 AM;54;NORTE DE SANTANDER;54810;TIBÚ;NO;;;;;2020;11
4382;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE QUIBDÓ;4496;CENTRO TECNICO DE QUIBDO;041;05/12/2009 12:00:00 AM;27;CHOCO;27001;QUIBDÓ;NO;;;;;2020;11
